----------------------------------------------------------------------------------
      name:  <unnamed>
       log:  C:\Users\Miguel\Desktop\Trabalho do Tillmann\frequencia_cbo.txt
  log type:  text
 opened on:   8 Feb 2025, 21:35:31

. 
end of do-file

. do "C:\Users\Miguel\AppData\Local\Temp\STD1930_000000.tmp"

. tabulate cboocupação2002, sort

        CBO |
   Ocupação |
       2002 |      Freq.     Percent        Cum.
------------+-----------------------------------
     784205 |    682,497        4.59        4.59
     521110 |    627,164        4.22        8.81
     514320 |    544,319        3.66       12.48
     411010 |    537,364        3.62       16.09
     411005 |    503,152        3.39       19.48
     782510 |    435,222        2.93       22.41
     421125 |    342,762        2.31       24.71
     717020 |    213,876        1.44       26.15
     521125 |    204,499        1.38       27.53
     322205 |    192,935        1.30       28.83
     513505 |    187,665        1.26       30.09
     521140 |    167,347        1.13       31.22
     331205 |    167,086        1.12       32.34
     513205 |    162,621        1.09       33.44
     715210 |    157,438        1.06       34.50
     422105 |    150,453        1.01       35.51
     414105 |    143,099        0.96       36.47
     514225 |    142,807        0.96       37.43
     231210 |    135,915        0.91       38.35
     513435 |    133,493        0.90       39.24
     517330 |    127,905        0.86       40.11
     410105 |    105,015        0.71       40.81
     848520 |     95,604        0.64       41.46
     621005 |     93,808        0.63       42.09
     517410 |     89,351        0.60       42.69
     514120 |     88,503        0.60       43.28
     521135 |     84,074        0.57       43.85
     142105 |     81,060        0.55       44.39
     783225 |     79,912        0.54       44.93
     862150 |     79,757        0.54       45.47
     414110 |     78,445        0.53       46.00
     782310 |     78,396        0.53       46.52
     724315 |     76,252        0.51       47.04
     354125 |     75,876        0.51       47.55
     784105 |     75,656        0.51       48.06
     232115 |     74,456        0.50       48.56
     848510 |     73,960        0.50       49.06
     331110 |     72,006        0.48       49.54
     223505 |     70,931        0.48       50.02
     783210 |     69,935        0.47       50.49
     422310 |     69,105        0.47       50.95
     521130 |     67,398        0.45       51.41
     763210 |     66,185        0.45       51.85
     513405 |     65,917        0.44       52.30
     413110 |     65,698        0.44       52.74
     911305 |     64,813        0.44       53.17
     517420 |     63,465        0.43       53.60
     521115 |     63,164        0.43       54.03
     764005 |     62,988        0.42       54.45
     914405 |     62,465        0.42       54.87
     414140 |     61,492        0.41       55.29
     331105 |     61,106        0.41       55.70
     111415 |     61,064        0.41       56.11
     622020 |     60,867        0.41       56.52
     514325 |     59,880        0.40       56.92
     763215 |     57,727        0.39       57.31
     252105 |     56,829        0.38       57.69
     782220 |     55,697        0.37       58.07
     141415 |     52,231        0.35       58.42
     212405 |     51,485        0.35       58.76
     391205 |     49,210        0.33       59.09
     223405 |     46,859        0.32       59.41
     413225 |     44,532        0.30       59.71
     782410 |     44,345        0.30       60.01
     521105 |     43,966        0.30       60.30
     414215 |     43,652        0.29       60.60
     782305 |     43,111        0.29       60.89
     710205 |     41,574        0.28       61.17
     783215 |     41,018        0.28       61.44
     520110 |     40,831        0.27       61.72
     724205 |     40,513        0.27       61.99
     715615 |     40,001        0.27       62.26
     414125 |     39,830        0.27       62.53
     231205 |     39,799        0.27       62.80
     142305 |     38,140        0.26       63.05
     252210 |     37,819        0.25       63.31
     771105 |     37,267        0.25       63.56
     715505 |     36,372        0.24       63.80
     414135 |     35,745        0.24       64.04
     622505 |     35,353        0.24       64.28
     422110 |     35,315        0.24       64.52
     515105 |     35,169        0.24       64.76
     234505 |     34,753        0.23       64.99
     513315 |     33,654        0.23       65.22
     252405 |     32,946        0.22       65.44
     334110 |     32,829        0.22       65.66
     252305 |     32,824        0.22       65.88
     317110 |     32,771        0.22       66.10
     231105 |     32,328        0.22       66.32
     721215 |     32,095        0.22       66.53
     848305 |     31,924        0.21       66.75
     716610 |     31,701        0.21       66.96
     848505 |     31,508        0.21       67.17
     514310 |     30,344        0.20       67.38
     351605 |     29,891        0.20       67.58
     763125 |     29,468        0.20       67.78
      21210 |     28,992        0.20       67.97
     414210 |     28,500        0.19       68.16
     421310 |     28,420        0.19       68.36
     142320 |     28,169        0.19       68.55
     212420 |     28,031        0.19       68.73
     142330 |     27,729        0.19       68.92
     782405 |     26,894        0.18       69.10
     641015 |     26,552        0.18       69.28
     848525 |     26,141        0.18       69.46
