--------------------------------------------------------------------------------------------------------
      name:  <unnamed>
       log:  D:\Program Files\Stata15\frequencia_cnae.txt
  log type:  text
 opened on:  19 Feb 2025, 17:13:31

. 
end of do-file

. do "C:\Users\Miguel\AppData\Local\Temp\STD4360_000000.tmp"

. tabulate cnae20subclasse, sort

   CNAE 2.0 |
  Subclasse |      Freq.     Percent        Cum.
------------+-----------------------------------
    8411600 |  1,185,954        7.98        7.98
    4711302 |    443,926        2.99       10.97
    4930202 |    415,141        2.79       13.76
    4120400 |    338,601        2.28       16.04
    5611201 |    278,695        1.88       17.92
    8610101 |    277,411        1.87       19.78
    1012101 |    240,206        1.62       21.40
    4781400 |    207,044        1.39       22.79
    8211300 |    205,802        1.38       24.18
    1412601 |    188,208        1.27       25.44
    8121400 |    181,916        1.22       26.67
    7820500 |    174,423        1.17       27.84
    8412400 |    165,225        1.11       28.95
    4771701 |    151,185        1.02       29.97
    5611203 |    137,890        0.93       30.90
    8011101 |    135,557        0.91       31.81
    4711301 |    133,502        0.90       32.71
    8520100 |    133,235        0.90       33.61
    4731800 |    131,533        0.89       34.49
    3101200 |    131,112        0.88       35.37
    1012103 |    119,124        0.80       36.18
    8220200 |    118,113        0.79       36.97
    4712100 |    101,834        0.69       37.66
    6920601 |     94,689        0.64       38.29
    8532500 |     88,589        0.60       38.89
    4744099 |     87,729        0.59       39.48
    4530703 |     87,324        0.59       40.07
    5510801 |     86,929        0.58       40.65
    8299799 |     83,476        0.56       41.21
    9430800 |     82,032        0.55       41.77
    8112500 |     81,634        0.55       42.32
    7830200 |     80,536        0.54       42.86
    7112000 |     77,175        0.52       43.38
    8111700 |     76,620        0.52       43.89
    5620101 |     75,411        0.51       44.40
    8513900 |     74,349        0.50       44.90
    8531700 |     74,218        0.50       45.40
    4321500 |     66,561        0.45       45.85
    4754701 |     64,931        0.44       46.28
    2833000 |     64,858        0.44       46.72
    4211101 |     64,640        0.43       47.16
    4399103 |     58,792        0.40       47.55
    1531901 |     58,475        0.39       47.95
    8424800 |     58,272        0.39       48.34
    2222600 |     58,066        0.39       48.73
    4753900 |     54,830        0.37       49.10
    1091102 |     54,306        0.37       49.46
    6422100 |     53,375        0.36       49.82
    6424703 |     53,258        0.36       50.18
    4110700 |     52,847        0.36       50.54
    7810800 |     52,412        0.35       50.89
     133407 |     52,402        0.35       51.24
    4520001 |     51,933        0.35       51.59
    1610203 |     51,928        0.35       51.94
    4721102 |     51,707        0.35       52.29
    8423000 |     50,951        0.34       52.63
    4782201 |     50,721        0.34       52.97
    4511101 |     49,714        0.33       53.31
    4789099 |     49,643        0.33       53.64
    8630504 |     49,155        0.33       53.97
    9420100 |     49,125        0.33       54.30
    8511200 |     48,882        0.33       54.63
    4639701 |     48,381        0.33       54.96
    1412603 |     47,980        0.32       55.28
    8512100 |     47,960        0.32       55.60
    4729699 |     46,581        0.31       55.92
    4930201 |     44,468        0.30       56.22
    4691500 |     43,902        0.30       56.51
    4921301 |     43,121        0.29       56.80
     115600 |     42,088        0.28       57.08
    8610102 |     41,962        0.28       57.37
    6201501 |     41,647        0.28       57.65
    8291100 |     39,045        0.26       57.91
    8219999 |     38,358        0.26       58.17
    1621800 |     37,971        0.26       58.42
    2599399 |     37,851        0.25       58.68
     151201 |     37,726        0.25       58.93
    1533500 |     37,153        0.25       59.18
    8129000 |     36,361        0.24       59.43
    6203100 |     35,994        0.24       59.67
    2949299 |     35,164        0.24       59.91
    4744001 |     35,092        0.24       60.14
    1052000 |     34,923        0.24       60.38
    8599699 |     34,909        0.23       60.61
    5212500 |     34,839        0.23       60.85
    6209100 |     34,808        0.23       61.08
    6202300 |     34,653        0.23       61.31
    8630503 |     33,441        0.23       61.54
    8020001 |     33,167        0.22       61.76
    4713004 |     33,007        0.22       61.98
    2451200 |     32,593        0.22       62.20
    2229399 |     32,578        0.22       62.42
    8800600 |     32,317        0.22       62.64
     161099 |     32,174        0.22       62.86
    6911701 |     32,098        0.22       63.07
    8640202 |     32,013        0.22       63.29
    7319002 |     31,852        0.21       63.50
    3811400 |     31,577        0.21       63.71
    1066000 |     30,988        0.21       63.92
    4744005 |     30,723        0.21       64.13
    4772500 |     30,644        0.21       64.34
    9313100 |     30,354        0.20       64.54
    1091101 |     30,145        0.20       64.74
    6912500 |     30,053        0.20       64.95
    2512800 |     29,776        0.20       65.15
    1531902 |     29,413        0.20       65.34
    4751201 |     29,365        0.20       65.54
    4221902 |     29,176        0.20       65.74
    4530701 |     28,527        0.19       65.93
    4752100 |     28,215        0.19       66.12
    4759899 |     28,200        0.19       66.31
    4313400 |     27,825        0.19       66.50
    2511000 |     27,621        0.19       66.68
    1099699 |     27,569        0.19       66.87
    6110803 |     27,514        0.19       67.05
    6550200 |     27,081        0.18       67.24
    2229302 |     26,975        0.18       67.42
    4213800 |     26,553        0.18       67.60
    7020400 |     26,455        0.18       67.77
    8599604 |     26,390        0.18       67.95
    1013901 |     25,695        0.17       68.12
    1721400 |     25,646        0.17       68.30
    8711502 |     25,133        0.17       68.47
    3600601 |     24,784        0.17       68.63
    4789004 |     24,308        0.16       68.80
    1011201 |     24,008        0.16       68.96
    8660700 |     23,908        0.16       69.12
    4742300 |     23,874        0.16       69.28
    9312300 |     23,871        0.16       69.44
    2869100 |     23,713        0.16       69.60
    4623199 |     23,615        0.16       69.76
    2539001 |     23,430        0.16       69.92
    2930101 |     22,887        0.15       70.07
    9491000 |     22,743        0.15       70.22
    4774100 |     22,699        0.15       70.38
    5211701 |     22,675        0.15       70.53
    4930203 |     22,390        0.15       70.68
    4683400 |     22,385        0.15       70.83
