---------------------------------------------------------
      name:  <unnamed>
       log:  C:\Users\Miguel\Desktop\Trabalho do Tillmann
> \frequencia_cbo.txt
  log type:  text
 opened on:  25 Jan 2025, 16:16:16

. 
. * Executar o comando
. tabulate cboocupação2002, sort

        CBO |
   Ocupação |
       2002 |      Freq.     Percent        Cum.
------------+-----------------------------------
     784205 |    333,950        5.61        5.61
     521110 |    249,705        4.19        9.80
     411010 |    205,166        3.45       13.25
     782510 |    198,656        3.34       16.58
     411005 |    197,528        3.32       19.90
     514320 |    179,125        3.01       22.91
     421125 |    126,127        2.12       25.03
     717020 |    118,966        2.00       27.03
     521125 |     83,923        1.41       28.44
     715210 |     82,468        1.39       29.82
     514225 |     67,971        1.14       30.96
     513505 |     66,209        1.11       32.08
     322205 |     65,420        1.10       33.17
     521140 |     62,013        1.04       34.22
     514120 |     58,599        0.98       35.20
     513205 |     55,257        0.93       36.13
     513435 |     54,828        0.92       37.05
     414105 |     54,612        0.92       37.97
     422105 |     52,877        0.89       38.85
     231210 |     50,995        0.86       39.71
     621005 |     46,834        0.79       40.50
     422310 |     43,398        0.73       41.23
     517330 |     43,139        0.72       41.95
     848520 |     41,664        0.70       42.65
     783225 |     35,854        0.60       43.25
     848510 |     35,222        0.59       43.84
     517410 |     34,745        0.58       44.43
     724315 |     34,721        0.58       45.01
     782310 |     33,554        0.56       45.57
     142105 |     33,321        0.56       46.13
     521135 |     33,180        0.56       46.69
     862150 |     33,142        0.56       47.25
     783210 |     33,007        0.55       47.80
     410105 |     32,525        0.55       48.35
     414110 |     32,342        0.54       48.89
     331205 |     32,258        0.54       49.43
     514325 |     30,904        0.52       49.95
     911305 |     28,891        0.49       50.44
     521115 |     28,616        0.48       50.92
     914405 |     28,149        0.47       51.39
     331105 |     28,004        0.47       51.86
     354125 |     26,864        0.45       52.31
     517420 |     26,473        0.44       52.76
     784105 |     26,191        0.44       53.20
     763210 |     26,026        0.44       53.63
     223505 |     25,856        0.43       54.07
     513405 |     24,079        0.40       54.47
     782220 |     23,656        0.40       54.87
     252105 |     23,370        0.39       55.26
     414140 |     23,200        0.39       55.65
     521130 |     22,878        0.38       56.04
     111415 |     21,805        0.37       56.40
     848525 |     21,385        0.36       56.76
     334110 |     21,327        0.36       57.12
     763215 |     21,086        0.35       57.47
     212405 |     20,621        0.35       57.82
     710205 |     20,125        0.34       58.16
     782410 |     20,101        0.34       58.50
     622020 |     19,772        0.33       58.83
     413110 |     19,421        0.33       59.15
     521105 |     18,863        0.32       59.47
     724205 |     18,688        0.31       59.78
     783215 |     18,679        0.31       60.10
     715505 |     18,601        0.31       60.41
     715615 |     18,434        0.31       60.72
     414215 |     18,261        0.31       61.03
     223405 |     17,854        0.30       61.33
     782305 |     17,768        0.30       61.63
     992225 |     16,798        0.28       61.91
     391205 |     16,777        0.28       62.19
     141415 |     16,571        0.28       62.47
     239415 |     16,268        0.27       62.74
     413225 |     16,123        0.27       63.01
     848505 |     15,897        0.27       63.28
     142305 |     15,892        0.27       63.55
     520110 |     15,530        0.26       63.81
     771105 |     15,443        0.26       64.07
     641015 |     15,270        0.26       64.32
     716610 |     14,765        0.25       64.57
     421310 |     14,735        0.25       64.82
     414125 |     14,472        0.24       65.06
     415205 |     13,660        0.23       65.29
     231205 |     13,506        0.23       65.52
     252210 |     13,501        0.23       65.74
     848305 |     13,276        0.22       65.97
     331110 |     12,827        0.22       66.18
     519110 |     12,720        0.21       66.40
     715525 |     12,501        0.21       66.61
     515105 |     12,428        0.21       66.81
     763125 |     12,422        0.21       67.02
     414135 |     12,240        0.21       67.23
     252405 |     12,232        0.21       67.43
     422110 |     12,081        0.20       67.64
     721215 |     12,045        0.20       67.84
     999999 |     11,798        0.20       68.04
     351605 |     11,677        0.20       68.23
     514310 |     11,508        0.19       68.43
     232115 |     11,173        0.19       68.61
     782405 |     11,018        0.19       68.80
     142320 |     10,996        0.18       68.98
     414210 |     10,985        0.18       69.17
     622505 |     10,782        0.18       69.35
     231105 |     10,734        0.18       69.53
     322230 |     10,717        0.18       69.71
     142330 |     10,670        0.18       69.89
     641010 |     10,378        0.17       70.06
      21210 |     10,345        0.17       70.24
